
0,0;14,4049;29,2317;2;85,6117
0,1;14,405;29,2313;2;85,6117
0,2;14,4051;29,2319;4;85,6117
0,3;14,4054;29,229;4;85,6117
0,4;14,4055;29,23;4;85,6117
0,5;14,4065;29,2293;4;85,6117
0,6;14,4076;29,2293;3;85,6117
0,7;14,4082;29,2299;3;85,6117
0,8;14,4092;29,2299;3;85,6117
0,9;14,4096;29,233;4;85,6117
1,0;14,4099;29,2341;2;85,6117
1,1;14,4104;29,2318;2;85,6117
1,2;14,4114;29,2315;10;85,6117
1,3;14,4128;29,2326;10;85,6117
1,4;14,414;29,2346;4;85,6117
1,5;14,4164;29,2289;4;85,6117
1,6;14,4183;29,2272;33;85,6117
1,7;14,4184;29,2291;14;85,6117
1,8;14,4204;29,234;14;85,6117
1,9;14,421;29,2349;5;85,6117
2,0;14,4212;29,2347;4;85,6117
2,1;14,4214;29,2345;4;85,6117
2,2;14,4215;29,2348;4;85,6117
2,3;14,4217;29,2359;4;85,6117
2,4;14,422;29,2335;5;85,6117
2,5;14,422;29,2353;2;85,6117
2,6;14,4221;29,2364;2;85,6117
2,7;14,4222;29,2348;3;85,6117
2,8;14,4223;29,2362;3;85,6117
2,9;14,4224;29,2354;4;85,6117
3,0;14,4224;29,2362;2;85,6117
