
0,0;14,399;29,2218;1;0
0,1;14,3993;29,2245;2;0
0,2;14,3996;29,2286;4;0
0,3;14,3996;29,2294;4;0
0,4;14,3996;29,2282;4;0
0,5;14,3998;29,2282;2;0
0,6;14,3999;29,2289;2;0
0,7;14,3999;29,2298;4;0
0,8;14,3999;29,2297;4;0
0,9;14,4009;29,2295;4;0
1,0;14,4015;29,2263;2;0
1,1;14,4024;29,2273;2;0
1,2;14,4031;29,2242;4;0
1,3;14,4038;29,2234;4;0
1,4;14,4046;29,2251;4;0
1,5;14,4047;29,2301;4;0
1,6;14,4054;29,2283;4;0
1,7;14,4055;29,2304;10;0
1,8;14,4059;29,2353;10;0
1,9;14,4078;29,232;10;0
2,0;14,4102;29,233;33;0
2,1;14,4122;29,2314;33;0
2,2;14,4123;29,2311;11;0
2,3;14,4142;29,2309;11;0
2,4;14,4156;29,2287;13;0
2,5;14,4166;29,2299;2;0
2,6;14,4168;29,2278;2;0
2,7;14,4173;29,2275;4;0
2,8;14,4173;29,2317;4;0
2,9;14,4178;29,2301;4;0
3,0;14,4179;29,234;3;0
